例,0x4f8b 
侍,0x4f8d 
侏,0x4f8f 
侘,0x4f98 
供,0x4f9b 
依,0x4f9d 
侠,0x4fa0 
価,0x4fa1 
侭,0x4fad 
侮,0x4fae 
侯,0x4faf 
侵,0x4fb5 
侶,0x4fb6 
便,0x4fbf 
係,0x4fc2 
促,0x4fc3 
俄,0x4fc4 
俊,0x4fca 
俎,0x4fce 
俑,0x4fd1 
俗,0x4fd7 
俘,0x4fd8 
俚,0x4fda 
保,0x4fdd 
俟,0x4fdf 
信,0x4fe1 
俣,0x4fe3 
俤,0x4fe4 
修,0x4fee 
俯,0x4fef 
俳,0x4ff3 
俵,0x4ff5 
俸,0x4ff8 
俺,0x4ffa 
P,0x50 
倅,0x5005 
倆,0x5006 
倉,0x5009 
個,0x500b 
倍,0x500d 
倏,0x500f 
倒,0x5012 
倖,0x5016 
候,0x5019 
倚,0x501a 
借,0x501f 
倣,0x5023 
値,0x5024 
倥,0x5025 
倦,0x5026 
倨,0x5028 
倩,0x5029 
倪,0x502a 
倫,0x502b 
倬,0x502c 
倭,0x502d 
倶,0x5036 
倹,0x5039 
偃,0x5043 
假,0x5047 
偈,0x5048 
偉,0x5049 
偏,0x504f 
偕,0x5055 
偖,0x5056 
做,0x505a 
停,0x505c 
健,0x5065 
偬,0x506c 
偲,0x5072 
側,0x5074 
偵,0x5075 
偶,0x5076 
偸,0x5078 
偽,0x507d 
傀,0x5080 
傅,0x5085 
傍,0x508d 
傑,0x5091 
傘,0x5098 
備,0x5099 
催,0x50ac 
傭,0x50ad 
傲,0x50b2 
傳,0x50b3 
傴,0x50b4 
債,0x50b5 
傷,0x50b7 
傾,0x50be 
僂,0x50c2 
僅,0x50c5 
僉,0x50c9 
働,0x50cd 
像,0x50cf 
僑,0x50d1 
僕,0x50d5 
僚,0x50da 
僞,0x50de 
僣,0x50e3 
僥,0x50e5 
僧,0x50e7 
僭,0x50ed 
僮,0x50ee 
價,0x50f9 
僻,0x50fb 
Q,0x51 
儀,0x5100 
儂,0x5102 
億,0x5104 
儒,0x5112 
儕,0x5115 
儘,0x5118 
儚,0x511a 
償,0x511f 
儡,0x5121 
優,0x512a 
儲,0x5132 
儷,0x5137 
儺,0x513a 
儼,0x513c 
兀,0x5140 
允,0x5141 
元,0x5143 
兄,0x5144 
充,0x5145 
兆,0x5146 
兇,0x5147 
先,0x5148 
光,0x5149 
克,0x514b 
兌,0x514c 
免,0x514d 
兎,0x514e 
児,0x5150 
兔,0x5154 
党,0x515a 
兜,0x515c 
兢,0x5162 
入,0x5165 
全,0x5168 
兩,0x5169 
兪,0x516a 
八,0x516b 
公,0x516c 
六,0x516d 
共,0x5171 
兵,0x5175 
其,0x5176 
具,0x5177 
典,0x5178 
兼,0x517c 
冀,0x5180 
内,0x5185 
円,0x5186 
冉,0x5189 
冊,0x518a 
再,0x518d 
冏,0x518f 
冑,0x5191 
冒,0x5192 
冕,0x5195 
冖,0x5196 
冗,0x5197 
写,0x5199 
冠,0x51a0 
冢,0x51a2 
冤,0x51a4 
冥,0x51a5 
冨,0x51a8 
冪,0x51aa 
冬,0x51ac 
冱,0x51b1 
冲,0x51b2 
冴,0x51b4 
冶,0x51b6 
冷,0x51b7 
冽,0x51bd 
凄,0x51c4 
准,0x51c6 
凉,0x51c9 
凋,0x51cb 
凌,0x51cc 
凍,0x51cd 
凛,0x51db 
凝,0x51dd 
几,0x51e0 
凡,0x51e1 
処,0x51e6 
凧,0x51e7 
凩,0x51e9 
凪,0x51ea 
凭,0x51ed 
凰,0x51f0 
凱,0x51f1 
凵,0x51f5 
凶,0x51f6 
凸,0x51f8 
凹,0x51f9 
出,0x51fa 
函,0x51fd 
R,0x52 
刀,0x5200 
刃,0x5203 
分,0x5206 
切,0x5207 
刈,0x5208 
刊,0x520a 
刎,0x520e 
刑,0x5211 
列,0x5217 
初,0x521d 
判,0x5224 
別,0x5225 
利,0x5229 
刪,0x522a 
刮,0x522e 
到,0x5230 
刳,0x5233 
制,0x5236 
刷,0x5237 
券,0x5238 
刹,0x5239 
刺,0x523a 
刻,0x523b 
剃,0x5243 
則,0x5247 
削,0x524a 
剋,0x524b 
剌,0x524c 
前,0x524d 
剔,0x5254 
剖,0x5256 
剛,0x525b 
剣,0x5263 
剤,0x5264 
剥,0x5265 
剪,0x526a 
副,0x526f 
剰,0x5270 
剱,0x5271 
割,0x5272 
剴,0x5274 
創,0x5275 
剽,0x527d 
剿,0x527f 
劃,0x5283 
劇,0x5287 
劈,0x5288 
劍,0x528d 
劑,0x5291 
劔,0x5294 
力,0x529b 
功,0x529f 
加,0x52a0 
劣,0x52a3 
助,0x52a9 
努,0x52aa 
劫,0x52ab 
励,0x52b1 
労,0x52b4 
効,0x52b9 
劾,0x52be 
勁,0x52c1 
勃,0x52c3 
勅,0x52c5 
勇,0x52c7 
勉,0x52c9 
勒,0x52d2 
動,0x52d5 
勘,0x52d8 
務,0x52d9 
勝,0x52dd 
勞,0x52de 
募,0x52df 
勢,0x52e2 
勤,0x52e4 
勦,0x52e6 
勧,0x52e7 
勲,0x52f2 
勵,0x52f5 
勸,0x52f8 
勺,0x52fa 
勾,0x52fe 
勿,0x52ff 
S,0x53 
匁,0x5301 
匂,0x5302 
包,0x5305 
匆,0x5306 
匈,0x5308 
匍,0x530d 
匏,0x530f 
匐,0x5310 
匕,0x5315 
化,0x5316 
北,0x5317 
匙,0x5319 
匚,0x531a 
匝,0x531d 
匠,0x5320 
匡,0x5321 
匣,0x5323 
匪,0x532a 
匹,0x5339 
区,0x533a 
医,0x533b 
匿,0x533f 
區,0x5340 
十,0x5341 
千,0x5343 
卆,0x5346 
升,0x5347 
午,0x5348 
卉,0x5349 
半,0x534a 
卍,0x534d 
卑,0x5351 
卒,0x5352 
卓,0x5353 
協,0x5354 
南,0x5357 
単,0x5358 
博,0x535a 
卜,0x535c 
占,0x5360 
卦,0x5366 
卯,0x536f 
印,0x5370 
危,0x5371 
即,0x5373 
却,0x5374 
卵,0x5375 
卷,0x5377 
卸,0x5378 
卿,0x537f 
厄,0x5384 
厖,0x5396 
厘,0x5398 
厚,0x539a 
原,0x539f 
厠,0x53a0 
厥,0x53a5 
厦,0x53a6 
厨,0x53a8 
厩,0x53a9 
厭,0x53ad 
厰,0x53b0 
厳,0x53b3 
去,0x53bb 
参,0x53c2 
參,0x53c3 
又,0x53c8 
叉,0x53c9 
及,0x53ca 
友,0x53cb 
双,0x53cc 
反,0x53cd 
収,0x53ce 
叔,0x53d4 
取,0x53d6 
受,0x53d7 
叙,0x53d9 
叛,0x53db 
叟,0x53df 
叡,0x53e1 
叢,0x53e2 
口,0x53e3 
古,0x53e4 
句,0x53e5 
叩,0x53e9 
只,0x53ea 
叫,0x53eb 
召,0x53ec 
叭,0x53ed 
叮,0x53ee 
可,0x53ef 
台,0x53f0 
叱,0x53f1 
史,0x53f2 
右,0x53f3 
叶,0x53f6 
号,0x53f7 
司,0x53f8 
叺,0x53fa 
T,0x54 
吃,0x5403 
各,0x5404 
合,0x5408 
吉,0x5409 
吊,0x540a 
吋,0x540b 
同,0x540c 
名,0x540d 
后,0x540e 
